simulation_id,event_type,view_id,V_bus_1,V_bus_2,f_gen_1,f_gen_2,PQ_gen,V1_pre,V1_min,V1_max,delta_V1,sag_duration_V1,recovery_time_V1,V2_pre,V2_min,V2_max,delta_V2,sag_duration_V2,recovery_time_V2,f1_pre,f1_min,f1_max,delta_f1,ROCOF_numerico_f1,t_nadir_f1,settling_time_f1,f2_pre,f2_min,f2_max,delta_f2,ROCOF_numerico_f2,t_nadir_f2,settling_time_f2,P_pre,P_min,P_max,delta_P,Q_pre,Q_min,Q_max,delta_Q
generator_outage_G01,generator_outage,1,1,2,1,2,1,1.02689638912936,1.00457037599778,1.02689613197341,-0.0122899050461691,0,0.74056426088649,1.02001684293784,0.97110863284441,1.02001650365959,-0.0297847609418258,0,NaN,59.9999934559826,59.9999929154556,59.9999929154556,-5.40526990278067e-07,0,0,0,59.9999937660327,59.5382784141082,60.0102589892079,-0.359956985106948,0.0876879254505807,7.66889471298899,20.397564396987,247.351644502021,0,247.351919448914,-247.351644502021,178.513910467193,0,178.514465299017,-178.513910467193
generator_outage_G01,generator_outage,2,18,25,1,7,1,0.993422297824962,0.960778204472743,0.993421901286815,-0.0156485145676577,0,0.991058468296999,1.02838004290673,0.989980263259846,1.02837976212162,-0.0185946316963483,0,8.70446897080877,59.9999934559826,59.9999929154556,59.9999929154556,-5.40526990278067e-07,0,0,0,59.9999944671441,59.5361477185815,60.0138916027558,-0.359988898113365,0.0104664720011264,7.69864573451936,20.397564396987,247.351644502021,0,247.351919448914,-247.351644502021,178.513910467193,0,178.514465299017,-178.513910467193
generator_outage_G01,generator_outage,3,9,25,2,5,1,1.02020766358892,1.00653094176664,1.02052375908399,-0.00543258314519179,0,0.547703587628754,1.02838004290673,0.989980263259846,1.02837976212162,-0.0185946316963483,0,8.70446897080877,59.9999937660327,59.5382784141082,60.0102589892079,-0.359956985106948,0.0876879254505807,7.66889471298899,20.397564396987,59.9999949130723,59.5318749047603,60.0235864633084,-0.360031171881054,0.177261442923483,7.66889471298899,20.5743712060307,247.351644502021,0,247.351919448914,-247.351644502021,178.513910467193,0,178.514465299017,-178.513910467193
generator_outage_G01,generator_outage,4,2,31,3,4,1,1.02001684293784,0.97110863284441,1.02001650365959,-0.0297847609418258,0,NaN,0.982000570674875,0.961636577973834,0.986637720555169,-0.00372849534002351,0,0.617510728599442,59.9999938740924,59.5373701780198,60.0069684352811,-0.359966317769043,0.050530114907353,7.72839675604972,20.2860501050901,59.9999944662808,59.536935957134,60.0151781794642,-0.360001683349175,0.0342945495068258,7.85074200510333,20.4859678015088,247.351644502021,0,247.351919448914,-247.351644502021,178.513910467193,0,178.514465299017,-178.513910467193
generator_outage_G01,generator_outage,5,21,33,3,9,1,0.997579594018811,0.974046334127308,0.998841936758179,-0.00850230027379106,0,0.776844878939017,0.997200971921189,0.97782285532887,1.00370080036461,-0.00304725486038848,0,0.492829269491326,59.9999938740924,59.5373701780198,60.0069684352811,-0.359966317769043,0.050530114907353,7.72839675604972,20.2860501050901,59.9999948530335,59.5350058842829,60.0115714399557,-0.360009874493656,0.0935419559217793,7.72839675604972,20.397564396987,247.351644502021,0,247.351919448914,-247.351644502021,178.513910467193,0,178.514465299017,-178.513910467193
generator_outage_G01,generator_outage,6,11,33,4,9,1,0.96248990465261,0.939180737540242,0.963267771432672,-0.00824404934061906,0,0.776844878939017,0.997200971921189,0.97782285532887,1.00370080036461,-0.00304725486038848,0,0.492829269491326,59.9999944662808,59.536935957134,60.0151781794642,-0.360001683349175,0.0342945495068258,7.85074200510333,20.4859678015088,59.9999948530335,59.5350058842829,60.0115714399557,-0.360009874493656,0.0935419559217793,7.72839675604972,20.397564396987,247.351644502021,0,247.351919448914,-247.351644502021,178.513910467193,0,178.514465299017,-178.513910467193
generator_outage_G01,generator_outage,7,4,25,5,10,1,0.960053104706681,0.932692817413944,0.96005272883502,-0.0118958330731447,0,0.87356918366836,1.02838004290673,0.989980263259846,1.02837976212162,-0.0185946316963483,0,8.70446897080877,59.9999949130723,59.5318749047603,60.0235864633084,-0.360031171881054,0.177261442923483,7.66889471298899,20.5743712060307,59.9999918043979,59.5364387396801,60.0106575524101,-0.359822088835251,-0.0824370371152725,8.25814079481794,20.2094746714057,247.351644502021,0,247.351919448914,-247.351644502021,178.513910467193,0,178.514465299017,-178.513910467193
generator_outage_G01,generator_outage,8,25,37,7,8,1,1.02838004290673,0.989980263259846,1.02837976212162,-0.0185946316963483,0,8.70446897080877,1.02750054732654,0.994746424539493,1.02750028868048,-0.00624056978102883,0,1.02352387963733,59.9999944671441,59.5361477185815,60.0138916027558,-0.359988898113365,0.0104664720011264,7.69864573451936,20.397564396987,59.9999936918416,59.5385372569098,60.0471952526081,-0.359938133731127,-0.657597009676094,7.8980489718005,20.2094746714057,247.351644502021,0,247.351919448914,-247.351644502021,178.513910467193,0,178.514465299017,-178.513910467193
generator_outage_G01,generator_outage,9,14,21,1,2,2,0.965188010297433,0.93961108300144,0.965187625896465,-0.010222802865604,0,0.833273392550483,0.997579594018811,0.974046334127308,0.998841936758179,-0.00850230027379106,0,0.776844878939017,59.9999934559826,59.9999929154556,59.9999929154556,-5.40526990278067e-07,0,0,0,59.9999937660327,59.5382784141082,60.0102589892079,-0.359956985106948,0.0876879254505807,7.66889471298899,20.397564396987,699.11655373899,695.412710591314,712.541846994715,13.3611779694725,156.180710399892,156.18077075031,179.060213095495,21.5179668848194
generator_outage_G01,generator_outage,10,6,24,1,8,2,0.959595788849726,0.936175542099567,0.96021042054141,-0.00845617952339117,0,0.776844878939017,0.999264074901395,0.973720468964012,0.999566267858597,-0.00983188839310667,0,0.833273392550483,59.9999934559826,59.9999929154556,59.9999929154556,-5.40526990278067e-07,0,0,0,59.9999936918416,59.5385372569098,60.0471952526081,-0.359938133731127,-0.657597009676094,7.8980489718005,20.2094746714057,699.11655373899,695.412710591314,712.541846994715,13.3611779694725,156.180710399892,156.18077075031,179.060213095495,21.5179668848194
generator_outage_G01,generator_outage,11,32,33,2,5,2,0.984100548431793,0.965057373874942,0.988248151059028,-0.00396448426196583,0,0.525724383434498,0.997200971921189,0.97782285532887,1.00370080036461,-0.00304725486038848,0,0.492829269491326,59.9999937660327,59.5382784141082,60.0102589892079,-0.359956985106948,0.0876879254505807,7.66889471298899,20.397564396987,59.9999949130723,59.5318749047603,60.0235864633084,-0.360031171881054,0.177261442923483,7.66889471298899,20.5743712060307,699.11655373899,695.412710591314,712.541846994715,13.3611779694725,156.180710399892,156.18077075031,179.060213095495,21.5179668848194
generator_outage_G01,generator_outage,12,17,18,3,4,2,0.99507019283339,0.965163778130354,0.99506978189358,-0.0131495726723511,0,0.934012870345174,0.993422297824962,0.960778204472743,0.993421901286815,-0.0156485145676577,0,0.991058468296999,59.9999938740924,59.5373701780198,60.0069684352811,-0.359966317769043,0.050530114907353,7.72839675604972,20.2860501050901,59.9999944662808,59.536935957134,60.0151781794642,-0.360001683349175,0.0342945495068258,7.85074200510333,20.4859678015088,699.11655373899,695.412710591314,712.541846994715,13.3611779694725,156.180710399892,156.18077075031,179.060213095495,21.5179668848194
