time,P_generator,Q_generator,V_bus_01,V_bus_02,V_bus_03,V_bus_04,V_bus_05,V_bus_06,V_bus_07,V_bus_08,V_bus_09,V_bus_10,V_bus_11,V_bus_12,V_bus_13,V_bus_14,V_bus_15,V_bus_16,V_bus_17,V_bus_18,V_bus_19,V_bus_20,V_bus_21,V_bus_22,V_bus_23,V_bus_24,V_bus_25,V_bus_26,V_bus_27,V_bus_28,V_bus_29,V_bus_30,V_bus_31,V_bus_32,V_bus_33,V_bus_34,V_bus_35,V_bus_36,V_bus_37,V_bus_38,V_bus_39,f_gen_01,f_gen_02,f_gen_03,f_gen_04,f_gen_05,f_gen_06,f_gen_07,f_gen_08,f_gen_09,f_gen_10
0,8.21977002538218,0.436269834569362,1.02689619675705,1.02001666624597,0.99447483961839,0.960052914488354,0.958759194400415,0.959595583265732,0.953428280202794,0.95459830027182,1.02020748978919,0.965720464430389,0.96248971145941,0.945223402898302,0.964270555325827,0.965187824060215,0.973078921276371,0.991037183180515,0.995070011903285,0.993422115057645,0.990604030237737,0.987464309584295,0.997579428206033,1.02295995468122,1.02167673627957,0.999263896725713,1.02837994251279,1.01926682520478,1.00205421142613,1.01980305097993,1.02109290474891,1.04990032627657,0.982000407484284,0.984100409692964,0.997200872807602,1.01230087613236,1.04940108840344,1.06360108401266,1.02750044803667,1.02650102943883,1.0300000719806,1,1,1,1,1,1,1,1,1,1
0.2,8.21976581197761,0.436269131685302,1.02689634378284,1.02001685759086,0.994475040116049,0.960053108719427,0.95875938752272,0.959595776101752,0.953428472315214,0.954598491454614,1.02020762188374,0.965720652071003,0.962489901630435,0.945223589244182,0.964270745017948,0.965188021132473,0.973079138955677,0.991037411654313,0.99507023484134,0.993422330404824,0.990604276065881,0.987464585016073,0.997579651095649,1.02296017059666,1.0216769419533,0.999264124040779,1.02838009875034,1.01926704806138,1.00205443309992,1.01980331134105,1.02109317049967,1.04990045693871,0.982000579005199,0.984100570900671,0.997201083025544,1.01230119020072,1.04940130699953,1.06360124211743,1.02750060259845,1.02650129160951,1.03000011870622,0.999999965064363,0.999999959528234,0.999999959155672,0.999999950271538,0.99999994611807,0.999999956025321,0.999999956701142,0.99999996115986,0.999999949447621,0.99999997972829
0.4,8.21976092568697,0.436268219703308,1.02689648089711,1.0200170221294,0.994475214203374,0.960053285264132,0.958759568883695,0.959595957779237,0.953428654400047,0.954598673034264,1.02020775024188,0.965720825861157,0.962490078889232,0.94522376174441,0.964270919399559,0.965188199058754,0.97307932626899,0.991037604366685,0.995070424180451,0.993422515063769,0.990604478408985,0.98746481063787,0.997579833734196,1.02296033924555,1.02167710315841,0.999264314759182,1.02838021901172,1.01926723217719,1.00205461843999,1.01980352857608,1.02109339171522,1.04990055558314,0.982000744034681,0.984100719918018,0.997201250466193,1.01230144479778,1.04940146607249,1.06360134982795,1.02750071619575,1.02650150633936,1.03000016337049,0.999999928575556,0.999999925961939,0.999999925849744,0.999999917729963,0.999999911060791,0.999999921049695,0.999999919317671,0.99999992797294,0.999999918332127,0.999999950083147
0.6,8.21975900788041,0.436267205643762,1.02689652586455,1.02001704629394,0.994475239185839,0.960053319651259,0.958759612541999,0.959596001863173,0.953428701879723,0.954598721623847,1.02020779355855,0.965720861934769,0.962490118067935,0.945223797966544,0.964270954063293,0.965188230987169,0.973079348359209,0.991037621773341,0.995070441989751,0.993422536206915,0.990604487500228,0.987464827011134,0.997579844401366,1.022960337746,1.02167709880461,0.999264330623479,1.02838021859646,1.01926723232162,1.00205462629739,1.01980351649809,1.02109337440733,1.04990055784362,0.982000780813263,0.984100745404836,0.997201240088831,1.01230146760403,1.04940145199876,1.06360130764405,1.02750070980737,1.02650147541243,1.03000017857566,0.999999900564799,0.999999906623495,0.999999907523963,0.999999910600461,0.999999908220644,0.999999906021152,0.999999904163147,0.999999906804143,0.999999915879619,0.999999905977936
0.8,8.21976188999109,0.436266753165716,1.02689638912936,1.02001684293784,0.994475020133488,0.960053104706681,0.958759400236745,0.959595788849726,0.953428494064471,0.954598516570043,1.02020766358892,0.965720649152829,0.96248990465261,0.945223588050834,0.964270739573376,0.965188010297433,0.973079105652974,0.991037366929576,0.99507019283339,0.993422297824962,0.990604210848697,0.987464538640993,0.997579594018811,1.0229600920912,1.02167685351485,0.999264074901395,1.02838004290673,1.01926696898686,1.0020543707611,1.01980319076653,1.02109303516246,1.04990040987001,0.982000570674875,0.984100548431793,0.997200971921189,1.01230116063239,1.04940121508332,1.0636010753349,1.02750054732654,1.02650112277428,1.03000013409431,0.999999890933044,0.999999896100545,0.999999897901539,0.999999907771347,0.999999915217872,0.999999905823924,0.999999907785735,0.999999894864026,0.999999914217225,0.999999863406631
1,8.21976456109469,0.436266901016509,1.02689613197341,1.02001650365959,0.99447465088492,0.96005272883502,0.958759018711514,0.959595405388814,0.953428116387122,0.954598142528851,1.02020741569325,0.965720272081748,0.962489524218583,0.945223215958439,0.964270361507435,0.965187625896465,0.973078694472808,0.991036940258187,0.99506978189358,0.993421901286815,0.990603758590716,0.987464063594078,0.99757917147838,1.02295968149004,1.02167644552061,0.999263645090658,1.02837976212162,1.0192665756457,1.00205397218291,1.01980273929526,1.02109257282773,1.04990017057094,0.982000194217386,0.98410020178925,0.997200544261644,1.0123006520705,1.04940082684498,1.06360071622983,1.02750028868048,1.0265006552755,1.03000005001758,0.999999881924261,0.99999988384747,0.999999885880697,0.999999896443508,0.999999905743378,0.999999899435899,0.999999899349643,0.999999883014087,0.999999895992313,0.999999842574492
1.2,8.21976398054286,0.436266451044974,1.0268959848329,1.02001629070777,0.994474414146605,0.960052489338391,0.958758780011998,0.959595165454582,0.953427882625023,0.954597912021776,1.02020727026863,0.965720030566597,0.962489282640935,0.945222978347822,0.964270118725335,0.965187377759738,0.973078421520059,0.991036653594132,0.995069510363454,0.993421642333121,0.990603445724033,0.987463736680079,0.9975788820768,1.02295939178306,1.0216761570072,0.999263354996229,1.02837957263888,1.01926631860781,1.00205371047719,1.01980244785075,1.02109227351674,1.04990001750828,0.981999956234162,0.984099972120532,0.997200238724165,1.01230030226896,1.0494005426093,1.06360044103385,1.02750010536668,1.02650034677789,1.03000000144257,0.999999866696192,0.999999870041227,0.999999871261254,0.999999877660677,0.999999880828053,0.999999877305592,0.999999876433766,0.999999869351794,0.999999877105551,0.999999851552342
1.4,8.21976294035258,0.436265637785429,1.0268959011811,1.02001615110677,0.994474257520008,0.960052335835718,0.958758632033217,0.959595016959688,0.953427739880212,0.954597772010721,1.02020718742915,0.965719876845049,0.962489130438387,0.945222827426863,0.964269963283739,0.965187216768777,0.97307823686743,0.991036456401915,0.995069324155171,0.993421467167576,0.990603224691166,0.987463506672744,0.997578679995216,1.02295918383778,1.02167594941656,0.999263154784482,1.02837943740429,1.01926613261966,1.00205352560437,1.01980222870227,1.02109204567974,1.0498999139125,0.981999808731783,0.984099821965082,0.997200015666128,1.01230005610949,1.04940033119104,1.06360022912829,1.02749997027924,1.02650010538575,1.02999997407852,0.999999856957436,0.999999859820088,0.999999860195021,0.999999861363824,0.999999859937388,0.999999859345763,0.999999859219045,0.999999859764366,0.999999863666471,0.999999863402551
1.6,8.21976129754698,0.436264350692055,1.02689591295885,1.02001612681886,0.994474228162276,0.960052319251008,0.958758627700838,0.959595013345082,0.953427740525461,0.954597774243986,1.02020720077851,0.965719863677668,0.962489120754145,0.945222815035059,0.964269947712412,0.965187195285461,0.973078194361645,0.99103640369502,0.995069275303433,0.993421426181187,0.99060315721243,0.987463439402075,0.997578617517456,1.02295910656192,1.02167587181907,0.99926309920705,1.0283793900173,1.01926606272062,1.00205346535627,1.01980212973939,1.02109193742716,1.04989988887147,0.981999806420571,0.984099801645241,0.997199932856988,1.01229998513939,1.049400236377,1.0636001241777,1.02749991424745,1.02649997814104,1.02999997878163,0.999999861472121,0.99999986071106,0.999999860616679,0.999999857979969,0.999999854807207,0.999999858041897,0.999999858796218,0.999999862240894,0.999999863213953,0.999999874624274
1.8,8.21975965149178,0.436263263978514,1.02689593382577,1.02001612596538,0.9944742262708,0.960052330299203,0.958758649616427,0.959595036255073,0.953427765742172,0.95459780019689,1.02020722564965,0.965719879402293,0.962489139142642,0.945222830674983,0.964269961208357,0.965187203385224,0.973078185304659,0.991036386631862,0.995069260318009,0.993421416617963,0.990603136588333,0.987463423405738,0.997578588269035,1.02295906168246,1.02167582775095,0.999263078837804,1.0283793679764,1.01926602966399,1.00205344040649,1.01980207689477,1.02109187766715,1.04989988230602,0.981999833628168,0.984099812808923,0.997199898711317,1.01229997198088,1.0494001723809,1.06360005772757,1.02749988398566,1.02649990293734,1.02999998663621,0.999999877584089,0.999999875498321,0.999999875643322,0.999999875449302,0.999999872884639,0.99999987722262,0.999999876670669,0.99999987735617,0.999999877307394,0.999999879108192
